,Gab_bilstm,BiLSTM,Gab_bilstm_std,BiLSTM_std,Gab_LSTM,LSTM,Gab_LSTM_std,LSTM_std,Gab_GRU,GRU,Gab_GRU_std,GRU_std,Gab_CNN,CNN,Gab_CNN_std,CNN_std,Gab_RNN,RNN,Gab_RNN_std,RNN_std
ETH-USD_H_W_D,91.25762730452875,145.55436007426954,34.87119969899058,40.884954830909976,1225.5707578588754,964.1264656604906,972.3752319073016,404.3550381720394,68.58533524433288,135.3619798797713,27.306460416867434,31.889624783578427,46.87823309094277,143.74440964764824,9.966805367465437,14.493895800737436,102.89610635528936,127.77698944261128,42.9478404874015,39.99471110147692
POWER_Point_Daily_Temperature,0.2779769783305847,1.1620799074423034,0.0178076341997833,0.0023534685399746,0.3248001583922045,1.167479659768365,0.035011409528698,0.0236465958623595,0.3034820847119267,1.161696932618654,0.0254953477814324,0.0042086114938062,0.2630499787037322,1.1755377693269138,0.0353846819349598,0.0079062490383745,0.3273825170299056,1.1875368728690132,0.0460275963701653,0.0396755861582356
Daily_Sunspot_data,13.285956565752372,15.864325120883253,6.068868264553795,0.7982215731687566,17.342021700318533,14.803266320519707,11.092183036399934,0.1802986949280466,14.375031463310773,15.30061433234882,5.029068440317985,0.4555694361082944,6.052643422121294,15.746551360522885,1.2947201605082366,0.7234891632528284,19.06042264771987,15.477638669346286,12.870020838353724,0.6882166980102004
sale_uni_392_data,1300.1908177260152,1273.0140511804382,84.7395425229478,57.98354271624112,1533.5755868110568,1461.5858638284012,68.12045983362839,92.5119450013128,1432.4430013961796,1375.1486965771842,83.58829308302927,105.35138862176908,1814.260844664559,1743.277192343384,16.02796579930617,0.7285260587003156,1419.8262411116002,1302.1571053890086,142.63064047070864,62.221457353085135
PM2.5_p09_data,2.1439246919979813,5.646221238205075,0.5149114451384335,0.0215984694095613,2.8052421570600385,5.77111601517228,0.3568530979851133,0.1119373115931426,2.7828090022360827,5.742161006943265,0.865983186299548,0.1052619148240359,1.1626993497108424,5.744081719307866,0.4639019730169946,0.0474317236148698,2.6275829627866667,5.744346640636481,0.5897228504648817,0.0464289033130323
POWER_Point_Daily_Presure_Data,0.3219637958241569,1.071403392459824,0.0350790294714316,0.0142101993006895,0.2559684736592952,1.0642060199036816,0.0194096509616771,0.0080130511136114,0.2569853330355588,1.061116670680211,0.0390552901544991,0.0054452505626104,0.2062668072884794,1.0777826310877632,0.0427040247770351,0.0053877089517018,0.2578786764339916,1.0661772937031753,0.0270876220539516,0.0055492987269849
POWER_Point_Daily_WindSpeed_data,0.4530427195939063,0.8394675329026755,0.0100073720273048,0.0014608248966412,0.4677654689980762,0.8415040285934167,0.0130520157205622,0.0023326209383669,0.4778602161246045,0.8393667052243388,0.0180489998690133,0.0012785758161025,0.4520758924082515,0.8409463062470482,0.0076150814478748,0.0017334681490005,0.5387545400339262,0.8591186615007261,0.0425527262398774,0.0130740676706452
SunSpotMonthly_Data,10.6399031239018,19.72680163271012,1.303992725635399,0.6043527441941235,12.13155796643777,20.50357463066332,2.57928249013373,1.4053136183450583,11.388659084006369,19.994580482180154,2.991930703616917,1.0644116747035697,6.111126972387735,18.87504195632143,0.0553516334497555,0.0335475858618993,11.114245609176516,20.59287139102217,2.301247092903284,0.8546233714893562
PRSA_data_2010_12_data,12.223671481505905,21.77481337624308,1.306780877049187,0.6885820898063267,15.412030015295548,21.671801262137777,8.05766614188762,0.663001545179262,15.858840469847076,21.36368858034288,12.051860745927671,0.1768719812458911,6.848266684039965,22.53663232732912,0.4444060791655148,0.278901452408153,11.248390088560177,21.5685563637982,1.685727327761098,0.2613402422933702
Myocardial_infarction_heart_data,0.0055883565523948,0.0106843689630804,0.0009253594465587,0.0005848198260102,0.0049593013720709,0.0098414012306733,0.0009623354635941,0.0004820625766928,0.0056755552475843,0.0101377184845026,0.0008330189931806,0.0006801562327019,0.0147669433642806,0.0177361660372576,0.0039699503194038,0.0028690747341616,0.0058774877064938,0.010579824130278,0.0012249325658515,0.0009891770645088
Microsoft-USD_H_W_D,107.07458586478708,107.69936333399922,6.011732310267057,6.468460136695794,1696.5823722829446,1697.440502738105,3373.9606551486154,3375.799342761107,31.692584038597555,33.03610231008594,6.5212251181463845,6.776443884732444,16.891840896733346,18.66597137262144,18.28113242951904,19.237582504168248,28.76053990437917,30.389830331363463,24.24862810474192,25.738201174838675
BTC-USD_H_W_D,8126.76867859577,9643.012413260749,1083.5649049307028,2054.428878628136,390742.8309038863,635203.9776656085,437550.3235082355,728322.464734623,1728.3216648312275,3240.508589257295,1165.0855703043787,1781.0615435469374,1370.4825796126383,2800.291367410121,973.408936968761,1787.8151525284477,1797.027511556674,3246.7690227605426,1728.6122094528562,2561.9138000850835
BeijingPM2.5_data,12.217439676769876,21.997515738842893,1.6357977306544045,0.4050074653788232,12.002236312640497,21.88004166416676,2.225418072137942,0.702608034996683,10.080517541838107,21.16440649612757,2.7940170406823808,0.320999505653656,6.867452814415913,20.53084466155604,0.7089720486803046,0.1297812070156449,11.564067885726342,21.28194099356599,2.031693753356365,0.3446482303055548
Healthy_control_heart_data,0.0142701407894131,0.0193732691362996,0.0047955910914037,0.0086676076523425,0.0140940216941926,0.020825639754639,0.011104949883701,0.0270278445596826,0.0071779608035908,0.0105709680240639,0.0026514554365351,0.0063632927782419,0.0177451163848501,0.0358087416902036,0.0105962491827902,0.021940015643515,0.0149727971495381,0.0224388939655461,0.01549347230689,0.0298901168077351
